frame,x,y,visible
312,455.3,299.3,1
424,416.1,252.4,1
496,478.7,255.3,1
504,430.5,267.9,1
1544,887.0,317.9,1
1552,887.0,312.2,1
1560,890.8,314.1,1
1568,877.4,309.3,1
1576,866.8,306.4,1
1584,871.6,303.5,1
6320,851.4,213.9,1
10096,-1.0,-1.0,0
10104,-1.0,-1.0,0
10112,-1.0,-1.0,0
10120,-1.0,-1.0,0
10128,-1.0,-1.0,0
10136,-1.0,-1.0,0
10144,-1.0,-1.0,0
10264,-1.0,-1.0,0
10272,-1.0,-1.0,0
10280,-1.0,-1.0,0
10288,-1.0,-1.0,0
13592,-1.0,-1.0,0
13680,-1.0,-1.0,0
13688,686.7,427.7,1
14376,510.5,311.2,1
14384,507.6,313.1,1
14392,498.9,315.0,1
14400,493.1,317.0,1
14408,493.1,315.0,1
16584,809.0,392.1,1
16664,940.9,327.6,1
16672,957.3,320.8,1
16680,967.9,317.9,1
16688,975.6,318.9,1
16696,972.7,320.8,1
16704,968.8,320.8,1
16712,965.0,321.8,1
16720,928.4,318.9,1
16728,836.0,322.7,1
16736,774.3,323.7,1
16768,830.2,280.4,1
