frame,x,y,visible
240,388.7,549.0,1
250,415.9,549.5,1
260,450.6,544.0,1
280,537.2,540.0,1
290,607.2,554.2,1
375,923.7,599.1,1
1335,684.4,171.6,1
1345,679.6,173.2,1
1355,678.1,172.4,1
2445,976.4,433.8,1
2455,963.8,438.5,1
2555,973.3,427.5,1
2570,965.4,425.1,1
2580,954.4,421.9,1
2590,957.5,421.9,1
3270,344.3,545.5,1
3280,341.9,543.2,1
3295,346.7,500.7,1
3305,347.5,471.5,1
3315,350.6,461.3,1
3330,364.8,473.1,1
3340,367.1,475.5,1
3350,402.6,475.5,1
3365,421.5,473.1,1
3405,358.5,529.0,1
3465,423.0,324.3,1
3480,395.5,325.1,1
3675,669.4,325.1,1
3930,113.7,298.4,1
4170,-1.0,-1.0,0
4180,-1.0,-1.0,0
4195,-1.0,-1.0,0
4205,-1.0,-1.0,0
4215,-1.0,-1.0,0
4230,-1.0,-1.0,0
4240,-1.0,-1.0,0
4250,372.6,245.6,1
4265,365.6,248.0,1
4275,360.1,241.7,1
4285,349.8,214.9,1
4300,350.6,217.3,1
4310,-1.0,-1.0,0
4565,411.2,389.7,1
4915,243.6,333.8,1
4925,265.6,326.7,1
5010,-1.0,-1.0,0
5020,-1.0,-1.0,0
5030,-1.0,-1.0,0
5045,-1.0,-1.0,0
5495,-1.0,-1.0,0
5590,830.8,407.0,1
5605,826.1,405.4,1
5615,822.9,404.6,1
5625,-1.0,-1.0,0
5640,773.3,355.8,1
5650,778.8,351.1,1
5885,820.5,319.6,1
5900,825.3,322.8,1
5910,760.7,329.8,1
5930,728.5,342.4,1
6025,982.7,349.5,1
6035,986.6,349.5,1
6050,982.7,343.2,1
6160,933.1,462.9,1
6175,946.5,476.3,1
6190,854.4,490.4,1
6200,821.3,498.3,1
6210,807.2,503.8,1
6225,779.6,512.5,1
6235,769.4,512.5,1
6245,737.9,500.7,1
6260,720.6,489.6,1
6270,717.4,474.7,1
6285,731.6,467.6,1
6300,614.3,516.4,1
6310,493.1,565.2,1
6325,308.1,628.2,1
6335,319.9,618.7,1
6345,328.6,612.4,1
6375,645.8,542.4,1
6385,650.5,542.4,1
6395,676.5,536.9,1
6410,699.3,522.7,1
6420,702.5,522.7,1
6430,734.7,523.5,1
6445,788.3,527.4,1
6455,789.8,529.0,1
6510,774.9,523.5,1
6520,787.5,507.8,1
6530,792.2,503.0,1
6545,808.7,495.9,1
6555,819.8,481.0,1
6565,820.5,470.8,1
6580,820.5,470.8,1
6590,809.5,475.5,1
6600,807.2,482.6,1
6675,475.0,604.6,1
6685,489.2,603.8,1
6695,517.5,603.8,1
6710,745.0,593.6,1
6730,828.4,580.2,1
6745,845.7,548.7,1
6755,869.4,516.4,1
6780,885.1,514.0,1
6890,260.1,510.1,1
6995,363.2,444.8,1
7005,368.7,444.0,1
7020,354.5,444.0,1
7030,340.4,439.3,1
7040,326.2,439.3,1
7055,313.6,448.7,1
7065,275.8,457.4,1
7075,234.1,481.8,1
7115,190.0,507.0,1
7125,190.8,515.6,1
7150,426.2,537.7,1
7285,593.8,569.9,1
7295,554.5,560.5,1
7355,539.5,557.3,1
7365,546.6,563.6,1
7375,573.4,558.9,1
7390,611.9,557.3,1
7400,638.7,550.3,1
7410,659.2,531.4,1
7425,712.7,512.5,1
7640,886.7,300.7,1
7650,875.7,305.4,1
7670,882.7,313.3,1
7680,904.0,325.1,1
7695,989.8,348.0,1
8855,1177.1,392.8,1
9505,-1.0,-1.0,0
9585,823.7,525.1,1
9595,900.1,535.3,1
9605,936.3,574.7,1
10950,1000.0,428.2,1
10985,943.3,481.0,1
10995,641.9,556.6,1
11070,409.6,610.1,1
11080,429.3,595.9,1
11090,437.2,584.9,1
11115,489.2,557.3,1
11140,585.2,518.8,1
11160,590.7,502.2,1
11180,564.7,497.5,1
11190,553.7,495.9,1
11205,511.2,490.4,1
11215,490.7,483.3,1
11260,251.4,456.6,1
11295,168.0,448.7,1
12150,349.8,381.8,1
12165,423.0,347.2,1
13350,275.0,318.0,1
13360,295.5,321.2,1
13370,468.7,287.3,1
13520,856.8,567.6,1
13530,849.7,565.2,1
13770,767.0,437.7,1
13845,752.1,410.1,1
13855,767.8,385.7,1
13870,771.7,370.8,1
13880,740.3,396.0,1
13890,722.2,400.7,1
13905,704.0,401.5,1
13915,701.7,403.1,1
13925,693.8,403.8,1
13940,678.9,404.6,1
13950,680.4,400.7,1
14290,763.9,421.9,1
14400,866.2,421.2,1
14410,789.1,433.0,1
14425,644.2,458.9,1
14435,632.4,484.9,1
14445,707.2,525.9,1
14510,998.5,522.7,1
14520,1052.8,478.6,1
14530,1059.8,482.6,1
14545,1053.6,481.8,1
14580,910.3,457.4,1
14590,900.1,451.1,1
14605,803.2,420.4,1
14730,513.6,376.3,1
14740,443.5,352.7,1
14755,370.3,330.6,1
14765,322.3,316.5,1
14780,385.2,309.4,1
14790,419.9,308.6,1
14815,420.7,303.9,1
14830,423.8,296.0,1
14840,420.7,296.0,1
14850,409.6,292.1,1
14865,-1.0,-1.0,0
14875,434.0,251.9,1
14885,445.9,248.0,1
14900,442.7,250.3,1
14910,439.6,255.9,1
14920,439.6,255.9,1
14935,424.6,264.5,1
14945,541.1,258.2,1
14960,734.0,262.2,1
