frame,x,y,visible
1365,634.0,433.7,1
1415,634.0,428.5,1
1480,632.6,436.7,1
1515,629.8,446.4,1
1550,631.2,449.2,1
1585,631.2,449.2,1
1620,631.2,450.5,1
1860,720.9,323.6,1
2375,988.5,536.1,1
2445,822.9,369.2,1
2480,834.0,411.9,1
2590,1031.2,498.8,1
2890,922.3,348.5,1
2925,1043.6,414.7,1
2960,1024.3,456.1,1
2995,937.4,487.8,1
3125,1082.3,486.4,1
3155,1087.8,432.6,1
3190,1069.8,418.8,1
3235,-1.0,-1.0,0
3270,991.2,327.8,1
3305,-1.0,-1.0,0
3340,940.2,294.7,1
3375,960.9,320.9,1
3410,1089.2,409.2,1
3670,1141.6,439.5,1
3770,868.5,297.4,1
3805,857.4,289.2,1
3840,621.6,243.6,1
4020,238.1,573.3,1
4455,1061.6,413.3,1
4490,1097.4,413.3,1
4525,933.3,474.0,1
4560,-1.0,-1.0,0
4820,-1.0,-1.0,0
5940,650.5,280.9,1
6280,886.4,355.4,1
6325,742.9,318.1,1
6540,-1.0,-1.0,0
6690,742.9,287.8,1
6950,883.6,642.3,1
6985,883.6,624.3,1
7070,937.4,453.3,1
7165,922.3,442.3,1
7385,-1.0,-1.0,0
7545,836.7,381.6,1
7580,817.4,458.8,1
7680,279.5,598.1,1
8170,269.8,580.2,1
8465,1136.1,534.7,1
8510,1080.9,486.4,1
9165,617.4,371.9,1
9695,504.3,311.2,1
9735,540.2,275.4,1
10210,1086.4,367.8,1
10245,1125.0,394.0,1
10280,1118.1,410.5,1
10315,1025.7,420.2,1
10350,1017.4,453.3,1
10385,1031.2,489.2,1
10645,-1.0,-1.0,0
11750,733.3,480.9,1
11835,-1.0,-1.0,0
12740,-1.0,-1.0,0
12785,715.4,569.2,1
12820,667.1,540.2,1
12855,-1.0,-1.0,0
12890,-1.0,-1.0,0
12920,822.9,475.4,1
12955,-1.0,-1.0,0
13070,856.1,340.2,1
13130,-1.0,-1.0,0
13425,527.8,567.8,1
13495,811.9,478.1,1
13915,-1.0,-1.0,0
14105,202.3,330.5,1
14140,296.1,329.2,1
14175,355.4,326.4,1
14340,279.5,301.6,1
14400,189.8,349.8,1
14435,184.3,359.5,1
14470,232.6,378.8,1
14725,256.1,490.5,1
14760,347.1,527.8,1
14795,337.4,525.0,1
