frame,x,y,visible
210,-1.0,-1.0,0
295,377.4,308.5,1
380,650.5,276.7,1
560,547.1,280.9,1
650,460.2,301.6,1
735,413.3,334.7,1
820,440.9,380.2,1
1280,580.2,287.8,1
1365,-1.0,-1.0,0
1450,-1.0,-1.0,0
1625,323.6,280.9,1
1710,440.9,311.2,1
1795,515.4,315.4,1
1880,547.1,326.4,1
2110,523.6,417.4,1
2195,578.8,505.7,1
2280,556.7,559.5,1
2500,777.4,507.1,1
2685,639.5,471.2,1
2770,905.7,471.2,1
2855,591.2,527.8,1
2940,704.3,446.4,1
3090,-1.0,-1.0,0
5415,639.5,559.5,1
5500,422.9,556.7,1
5585,414.7,536.1,1
5670,416.1,537.4,1
5755,918.1,380.2,1
5840,1003.6,250.5,1
5935,882.3,476.7,1
8135,584.3,282.3,1
8220,731.9,329.2,1
8310,547.1,268.5,1
9105,744.3,316.7,1
9195,649.2,260.2,1
14625,530.5,387.1,1
15080,727.8,431.2,1
15170,813.3,358.1,1
15330,632.6,436.7,1
16285,889.2,443.6,1
16370,937.4,456.1,1
16455,937.4,475.4,1
16540,971.9,475.4,1
17160,1054.7,394.0,1
17340,1013.3,519.5,1
17425,944.3,519.5,1
17575,541.6,624.3,1
18240,832.6,264.3,1
18325,814.7,272.6,1
18605,610.5,267.1,1
18740,-1.0,-1.0,0
19430,-1.0,-1.0,0
19630,-1.0,-1.0,0
23145,566.4,242.3,1
23280,491.9,325.0,1
23375,469.8,293.3,1
23465,563.6,265.7,1
23580,496.1,285.0,1
23665,490.5,290.5,1
23755,667.1,290.5,1
23855,-1.0,-1.0,0
25990,269.8,242.3,1
26075,278.1,267.1,1
26160,274.0,319.5,1
26295,291.9,356.7,1
26380,416.1,490.5,1
26555,867.1,512.6,1
26640,759.5,508.5,1
27250,566.4,516.7,1
30885,562.3,434.0,1
31210,691.9,396.7,1
31295,747.1,429.8,1
31800,956.7,431.2,1
31980,791.2,405.0,1
32065,885.0,421.6,1
32150,-1.0,-1.0,0
32235,-1.0,-1.0,0
32320,720.9,243.6,1
32405,800.9,251.9,1
32490,811.9,276.7,1
32575,777.4,296.1,1
33435,672.6,264.3,1
35535,820.2,360.9,1
35640,680.9,312.6,1
35730,-1.0,-1.0,0
