frame,x,y,visible
15,551.4,135.0,1
35,459.9,146.4,1
110,-1.0,-1.0,0
135,-1.0,-1.0,0
160,458.3,136.4,1
190,464.5,140.2,1
270,316.6,170.3,1
295,256.5,177.2,1
320,197.9,181.8,1
530,-1.0,-1.0,0
555,-1.0,-1.0,0
580,-1.0,-1.0,0
605,-1.0,-1.0,0
1335,-1.0,-1.0,0
1360,-1.0,-1.0,0
1385,-1.0,-1.0,0
1410,-1.0,-1.0,0
1660,865.9,219.6,1
1685,888.2,221.1,1
1710,874.4,223.4,1
1735,852.8,224.2,1
1770,798.9,224.2,1
1835,699.5,225.0,1
1855,618.6,230.4,1
1880,546.9,210.3,1
2220,593.2,170.3,1
2705,660.2,247.3,1
2730,672.5,247.3,1
2755,681.8,248.9,1
2780,683.3,238.1,1
2805,692.5,232.7,1
2830,703.3,239.6,1
2855,711.8,250.4,1
2880,714.1,265.8,1
2900,722.6,315.9,1
2925,724.1,375.2,1
2950,719.5,406.8,1
2975,715.7,409.1,1
3000,619.4,449.2,1
3025,456.8,507.7,1
3050,392.9,521.6,1
3225,644.0,299.7,1
3250,650.9,298.2,1
3275,-1.0,-1.0,0
3300,686.4,303.5,1
3320,658.6,201.9,1
3395,640.2,113.3,1
3420,-1.0,-1.0,0
3445,637.1,148.7,1
3470,647.1,154.9,1
3495,647.9,159.5,1
3520,651.7,165.6,1
3545,630.9,173.4,1
3665,654.0,202.6,1
3810,-1.0,-1.0,0
3835,747.2,256.6,1
3855,747.2,257.3,1
3880,760.3,261.2,1
3905,740.3,257.3,1
3930,606.3,249.6,1
3960,726.4,262.7,1
3995,788.8,275.0,1
4020,718.0,294.3,1
4085,581.6,364.4,1
4220,339.7,389.8,1
4245,197.2,420.7,1
4270,198.7,419.1,1
4290,-1.0,-1.0,0
6725,633.2,241.1,1
6750,624.0,243.5,1
6775,633.2,248.9,1
6800,639.4,245.0,1
6825,624.7,251.9,1
6850,624.0,255.8,1
6875,628.6,258.1,1
6900,636.3,255.0,1
6925,648.6,246.5,1
6950,663.3,246.5,1
6970,643.2,217.3,1
6995,610.9,188.8,1
7020,589.3,167.2,1
7045,587.0,153.3,1
7070,620.9,157.2,1
7095,663.3,168.0,1
7120,714.1,180.3,1
7145,752.6,187.2,1
7170,786.5,189.5,1
7195,778.1,193.4,1
7220,763.4,196.5,1
7240,743.4,213.4,1
7265,727.2,229.6,1
7290,729.5,235.0,1
7315,637.1,216.5,1
7340,567.7,202.6,1
7365,585.5,201.9,1
7390,604.7,202.6,1
7415,694.9,188.0,1
7445,750.3,178.0,1
7470,745.7,171.8,1
7495,741.8,171.8,1
7515,736.5,174.1,1
7540,721.0,173.4,1
7565,702.6,175.7,1
7590,712.6,194.2,1
7615,726.4,218.0,1
7640,710.3,215.7,1
7665,702.6,213.4,1
7690,681.8,247.3,1
7715,681.8,308.2,1
7740,688.7,371.3,1
7880,684.8,271.2,1
7910,594.7,218.0,1
7935,550.8,200.3,1
7970,516.1,187.2,1
