frame,x,y,visible
15,901.9,341.3,1
25,1023.0,331.9,1
40,1094.0,330.5,1
55,1172.6,324.3,1
70,1102.3,320.2,1
80,992.6,316.1,1
95,955.4,301.6,1
155,1199.5,322.3,1
310,1214.0,611.9,1
845,353.3,529.2,1
855,369.8,527.1,1
870,388.5,525.0,1
885,409.2,506.4,1
895,485.7,450.5,1
925,649.2,324.3,1
945,655.4,330.5,1
995,607.8,359.5,1
1010,609.8,361.6,1
1020,572.6,359.5,1
1285,818.8,713.3,1
1295,965.7,655.4,1
1310,1046.4,620.2,1
1320,1056.7,611.9,1
1335,909.8,531.2,1
1350,1017.4,551.9,1
1360,1189.2,605.7,1
1460,1162.3,609.8,1
1475,1187.1,593.3,1
1495,1317.4,390.5,1
1510,1377.4,361.6,1
1520,1485.0,425.7,1
1535,1576.1,481.6,1
1550,1638.1,518.8,1
1565,1592.6,508.5,1
1580,1569.8,496.1,1
1595,1561.6,491.9,1
1610,1569.8,516.7,1
1620,1547.1,518.8,1
2225,446.4,423.6,1
2240,485.7,353.3,1
