frame,x,y,visible
15,244.7,304.6,1
20,245.7,309.8,1
25,245.7,311.9,1
30,245.7,311.9,1
35,245.7,311.9,1
40,243.6,309.8,1
45,245.7,316.1,1
50,245.7,314.0,1
55,245.7,314.0,1
60,245.7,307.8,1
70,245.7,307.8,1
75,245.7,307.8,1
80,245.7,307.8,1
85,245.7,307.8,1
90,245.7,307.8,1
95,245.7,307.8,1
100,245.7,307.8,1
105,361.6,270.5,1
110,529.2,216.7,1
2870,965.7,723.6,1
2880,918.1,713.3,1
2890,729.8,622.3,1
2900,614.0,549.8,1
2905,574.7,527.1,1
2910,556.1,514.7,1
2915,570.5,516.7,1
2920,574.7,520.9,1
2925,576.7,535.4,1
2930,578.8,539.5,1
2935,611.9,487.8,1
2950,734.0,299.5,1
2955,767.1,264.3,1
2960,796.1,245.7,1
2965,812.6,233.3,1
2970,825.0,233.3,1
2975,837.4,241.6,1
2980,843.6,260.2,1
2985,829.2,272.6,1
2990,810.5,287.1,1
3000,773.3,297.4,1
