frame,x,y,visible
120,1299.5,261.6,1
125,1298.8,264.3,1
130,1298.8,264.3,1
145,1298.8,262.3,1
165,1298.8,262.3,1
1145,-1.0,-1.0,0
1150,734.0,316.1,1
1160,791.9,336.7,1
1165,808.5,351.2,1
1450,332.6,688.5,1
1460,421.6,738.1,1
1625,918.1,762.9,1
1635,-1.0,-1.0,0
1640,911.9,717.4,1
1910,1162.3,593.3,1
1930,1166.4,636.7,1
1935,1131.2,628.5,1
1945,1145.7,657.4,1
1950,1122.9,696.7,1
1960,1094.0,744.3,1
2670,409.2,616.1,1
2680,409.2,616.1,1
2685,409.2,616.1,1
2695,411.2,616.1,1
2700,411.2,616.1,1
2705,411.2,582.6,1
2715,365.7,535.4,1
2720,314.0,491.9,1
2775,330.5,409.2,1
2780,334.7,415.4,1
2790,338.8,415.4,1
2795,338.8,413.3,1
2800,334.7,411.2,1
2810,318.1,415.4,1
2815,311.9,415.4,1
2825,376.1,384.3,1
2830,491.9,351.2,1
2970,717.4,345.0,1
2975,698.8,345.0,1
2985,676.1,353.3,1
