id,match,chunk,frame,team_tracked,carrier_dist_m,player_name,confidence_1to3,notes
000_manutd_liverpool_h1_chunk_002_f9620,manutd_liverpool,h1_chunk_002,9620,1,1.57,Ibrahima Konaté,3,
001_manutd_liverpool_h1_chunk_002_f10405,manutd_liverpool,h1_chunk_002,10405,1,2.5,Ibrahima Konaté,3,
002_manutd_liverpool_h1_chunk_004_f5690,manutd_liverpool,h1_chunk_004,5690,0,0.22,Lisandro Martínez,3,
003_manutd_liverpool_h1_chunk_004_f11995,manutd_liverpool,h1_chunk_004,11995,0,1.97,Mohamed Salah,1,
004_manutd_liverpool_h1_chunk_004_f11020,manutd_liverpool,h1_chunk_004,11020,1,1.0,Ibrahima Konaté,3,
005_manutd_liverpool_h1_chunk_000_f405,manutd_liverpool,h1_chunk_000,405,0,1.19,Bruno Fernandes,3,
006_manutd_liverpool_h1_chunk_001_f3110,manutd_liverpool,h1_chunk_001,3110,0,2.43,Casemiro,3,
007_manutd_liverpool_h1_chunk_001_f3225,manutd_liverpool,h1_chunk_001,3225,0,0.66,Casemiro,3,
008_manutd_liverpool_h1_chunk_004_f2280,manutd_liverpool,h1_chunk_004,2280,0,0.9,Kobbie Mainoo,3,
009_manutd_liverpool_h1_chunk_003_f11595,manutd_liverpool,h1_chunk_003,11595,0,0.26,André Onana,3,
010_manutd_liverpool_h1_chunk_001_f3185,manutd_liverpool,h1_chunk_001,3185,0,1.05,Matthijs de Ligt,3,
011_manutd_liverpool_h1_chunk_001_f9030,manutd_liverpool,h1_chunk_001,9030,0,0.1,Noussair Mazraoui,3,
012_manutd_liverpool_h1_chunk_000_f2345,manutd_liverpool,h1_chunk_000,2345,1,0.7,,,
013_manutd_liverpool_h1_chunk_003_f3195,manutd_liverpool,h1_chunk_003,3195,1,0.86,Andy Robertson,3,
014_manutd_liverpool_h1_chunk_001_f11760,manutd_liverpool,h1_chunk_001,11760,1,0.89,Andy Robertson,3,
015_manutd_liverpool_h2_chunk_003_f1580,manutd_liverpool,h2_chunk_003,1580,1,1.8,Andy Robertson,3,
016_manutd_liverpool_h2_chunk_003_f3950,manutd_liverpool,h2_chunk_003,3950,0,1.36,Kobbie Mainoo,3,
017_manutd_liverpool_h2_chunk_003_f9950,manutd_liverpool,h2_chunk_003,9950,1,0.21,Noussair Mazraoui,3,
018_manutd_liverpool_h2_chunk_003_f10415,manutd_liverpool,h2_chunk_003,10415,0,2.05,WRONG_PLAYER_BOXED,3,
019_manutd_liverpool_h2_chunk_003_f7900,manutd_liverpool,h2_chunk_003,7900,0,1.01,André Onana,3,
020_manutd_liverpool_h2_chunk_001_f10100,manutd_liverpool,h2_chunk_001,10100,0,1.33,Matthijs de Ligt,3,
