min_conf,split,n_carriers,number_read_rate,n_labelled_assigned,e2e,ident
0.05,dev,355,0.383,12,0.167,0.182
0.05,held,740,0.473,25,0.0,0.0
0.05,all3,1095,0.444,37,0.054,0.067
0.2,dev,355,0.372,12,0.167,0.182
0.2,held,740,0.459,23,0.0,0.0
0.2,all3,1095,0.431,35,0.057,0.071
0.4,dev,355,0.183,4,0.25,0.25
0.4,held,740,0.308,17,0.0,0.0
0.4,all3,1095,0.268,21,0.048,0.062
0.6,dev,355,0.065,2,0.0,0.0
0.6,held,740,0.128,5,0.0,0.0
0.6,all3,1095,0.108,7,0.0,0.0
0.8,dev,355,0.008,0,,
0.8,held,740,0.038,0,,
0.8,all3,1095,0.028,0,,
