id,match,chunk,frame,team_tracked,carrier_dist_m,player_name,confidence_1to3,notes
000_manutd_liverpool_h1_chunk_002_f9620,manutd_liverpool,h1_chunk_002,9620,1,1.57,,,
001_manutd_liverpool_h1_chunk_002_f10405,manutd_liverpool,h1_chunk_002,10405,1,2.5,,,
002_manutd_liverpool_h1_chunk_004_f5690,manutd_liverpool,h1_chunk_004,5690,0,0.22,,,
003_manutd_liverpool_h1_chunk_004_f11995,manutd_liverpool,h1_chunk_004,11995,0,1.97,,,
004_manutd_liverpool_h1_chunk_004_f11020,manutd_liverpool,h1_chunk_004,11020,1,1.0,,,
005_manutd_liverpool_h1_chunk_000_f405,manutd_liverpool,h1_chunk_000,405,0,1.19,,,
006_manutd_liverpool_h1_chunk_001_f3110,manutd_liverpool,h1_chunk_001,3110,0,2.43,,,
007_manutd_liverpool_h1_chunk_001_f3225,manutd_liverpool,h1_chunk_001,3225,0,0.66,,,
008_manutd_liverpool_h1_chunk_004_f2280,manutd_liverpool,h1_chunk_004,2280,0,0.9,,,
009_manutd_liverpool_h1_chunk_003_f11595,manutd_liverpool,h1_chunk_003,11595,0,0.26,,,
010_manutd_liverpool_h1_chunk_001_f3185,manutd_liverpool,h1_chunk_001,3185,0,1.05,,,
011_manutd_liverpool_h1_chunk_001_f9030,manutd_liverpool,h1_chunk_001,9030,0,0.1,,,
012_manutd_liverpool_h1_chunk_000_f2345,manutd_liverpool,h1_chunk_000,2345,1,0.7,,,
013_manutd_liverpool_h1_chunk_003_f3195,manutd_liverpool,h1_chunk_003,3195,1,0.86,,,
014_manutd_liverpool_h1_chunk_001_f11760,manutd_liverpool,h1_chunk_001,11760,1,0.89,,,
015_manutd_liverpool_h2_chunk_003_f1580,manutd_liverpool,h2_chunk_003,1580,1,1.8,,,
016_manutd_liverpool_h2_chunk_003_f3950,manutd_liverpool,h2_chunk_003,3950,0,1.36,,,
017_manutd_liverpool_h2_chunk_003_f9950,manutd_liverpool,h2_chunk_003,9950,1,0.21,,,
018_manutd_liverpool_h2_chunk_003_f10415,manutd_liverpool,h2_chunk_003,10415,0,2.05,,,
019_manutd_liverpool_h2_chunk_003_f7900,manutd_liverpool,h2_chunk_003,7900,0,1.01,,,
020_manutd_liverpool_h2_chunk_001_f10100,manutd_liverpool,h2_chunk_001,10100,0,1.33,,,
021_manutd_liverpool_h2_chunk_002_f10080,manutd_liverpool,h2_chunk_002,10080,0,0.96,,,
022_manutd_liverpool_h2_chunk_003_f8645,manutd_liverpool,h2_chunk_003,8645,0,0.69,,,
023_manutd_liverpool_h2_chunk_005_f2150,manutd_liverpool,h2_chunk_005,2150,0,1.14,,,
024_manutd_liverpool_h2_chunk_003_f4640,manutd_liverpool,h2_chunk_003,4640,0,2.04,,,
025_manutd_liverpool_h2_chunk_001_f320,manutd_liverpool,h2_chunk_001,320,1,1.34,,,
026_manutd_liverpool_h2_chunk_000_f10955,manutd_liverpool,h2_chunk_000,10955,1,0.87,,,
027_manutd_liverpool_h2_chunk_002_f11370,manutd_liverpool,h2_chunk_002,11370,0,0.77,,,
028_manutd_liverpool_h2_chunk_000_f14855,manutd_liverpool,h2_chunk_000,14855,0,0.52,,,
029_manutd_liverpool_h2_chunk_003_f4365,manutd_liverpool,h2_chunk_003,4365,1,1.64,,,
030_manutd_tottenham_h1_chunk_001_f13835,manutd_tottenham,h1_chunk_001,13835,1,0.68,,,
031_manutd_tottenham_h1_chunk_003_f7120,manutd_tottenham,h1_chunk_003,7120,1,2.81,,,
032_manutd_tottenham_h1_chunk_002_f12580,manutd_tottenham,h1_chunk_002,12580,1,0.77,,,
033_manutd_tottenham_h1_chunk_004_f1575,manutd_tottenham,h1_chunk_004,1575,0,1.8,,,
034_manutd_tottenham_h1_chunk_003_f8410,manutd_tottenham,h1_chunk_003,8410,0,0.69,,,
035_manutd_tottenham_h1_chunk_004_f11825,manutd_tottenham,h1_chunk_004,11825,0,0.74,,,
036_manutd_tottenham_h1_chunk_001_f6125,manutd_tottenham,h1_chunk_001,6125,1,2.03,,,
037_manutd_tottenham_h1_chunk_000_f9695,manutd_tottenham,h1_chunk_000,9695,0,2.12,,,
038_manutd_tottenham_h1_chunk_000_f640,manutd_tottenham,h1_chunk_000,640,1,1.02,,,
039_manutd_tottenham_h1_chunk_001_f2485,manutd_tottenham,h1_chunk_001,2485,0,2.48,,,
040_manutd_tottenham_h1_chunk_000_f1980,manutd_tottenham,h1_chunk_000,1980,1,0.88,,,
041_manutd_tottenham_h1_chunk_001_f11975,manutd_tottenham,h1_chunk_001,11975,0,1.17,,,
042_manutd_tottenham_h1_chunk_003_f1435,manutd_tottenham,h1_chunk_003,1435,1,1.63,,,
043_manutd_tottenham_h1_chunk_002_f4175,manutd_tottenham,h1_chunk_002,4175,1,0.73,,,
044_manutd_tottenham_h1_chunk_002_f12075,manutd_tottenham,h1_chunk_002,12075,0,2.51,,,
045_manutd_tottenham_h2_chunk_000_f8415,manutd_tottenham,h2_chunk_000,8415,0,0.8,,,
046_manutd_tottenham_h2_chunk_004_f5840,manutd_tottenham,h2_chunk_004,5840,0,0.49,,,
047_manutd_tottenham_h2_chunk_004_f3570,manutd_tottenham,h2_chunk_004,3570,0,1.08,,,
048_manutd_tottenham_h2_chunk_000_f3960,manutd_tottenham,h2_chunk_000,3960,1,1.71,,,
049_manutd_tottenham_h2_chunk_002_f4220,manutd_tottenham,h2_chunk_002,4220,1,0.53,,,
050_manutd_tottenham_h2_chunk_000_f4100,manutd_tottenham,h2_chunk_000,4100,0,0.48,,,
051_manutd_tottenham_h2_chunk_000_f8055,manutd_tottenham,h2_chunk_000,8055,1,0.33,,,
052_manutd_tottenham_h2_chunk_003_f11015,manutd_tottenham,h2_chunk_003,11015,0,1.5,,,
053_manutd_tottenham_h2_chunk_001_f5440,manutd_tottenham,h2_chunk_001,5440,1,1.03,,,
054_manutd_tottenham_h2_chunk_002_f5940,manutd_tottenham,h2_chunk_002,5940,0,2.88,,,
055_manutd_tottenham_h2_chunk_002_f11140,manutd_tottenham,h2_chunk_002,11140,0,0.74,,,
056_manutd_tottenham_h2_chunk_004_f3650,manutd_tottenham,h2_chunk_004,3650,0,0.77,,,
057_manutd_tottenham_h2_chunk_004_f6645,manutd_tottenham,h2_chunk_004,6645,0,0.7,,,
058_manutd_tottenham_h2_chunk_004_f150,manutd_tottenham,h2_chunk_004,150,1,0.78,,,
059_manutd_tottenham_h2_chunk_004_f13820,manutd_tottenham,h2_chunk_004,13820,1,0.37,,,
060_manutd_brighton_h1_chunk_003_f1230,manutd_brighton,h1_chunk_003,1230,1,0.62,,,
061_manutd_brighton_h1_chunk_001_f6000,manutd_brighton,h1_chunk_001,6000,0,1.25,,,
062_manutd_brighton_h1_chunk_001_f495,manutd_brighton,h1_chunk_001,495,0,2.07,,,
063_manutd_brighton_h1_chunk_001_f12825,manutd_brighton,h1_chunk_001,12825,0,0.99,,,
064_manutd_brighton_h1_chunk_001_f14070,manutd_brighton,h1_chunk_001,14070,0,0.7,,,
065_manutd_brighton_h1_chunk_004_f10125,manutd_brighton,h1_chunk_004,10125,0,0.87,,,
066_manutd_brighton_h1_chunk_001_f9710,manutd_brighton,h1_chunk_001,9710,0,1.08,,,
067_manutd_brighton_h1_chunk_001_f7630,manutd_brighton,h1_chunk_001,7630,0,2.83,,,
068_manutd_brighton_h1_chunk_002_f14515,manutd_brighton,h1_chunk_002,14515,0,0.43,,,
069_manutd_brighton_h1_chunk_002_f5835,manutd_brighton,h1_chunk_002,5835,0,0.66,,,
070_manutd_brighton_h1_chunk_002_f6790,manutd_brighton,h1_chunk_002,6790,1,0.25,,,
071_manutd_brighton_h1_chunk_003_f1625,manutd_brighton,h1_chunk_003,1625,1,2.22,,,
072_manutd_brighton_h1_chunk_001_f13340,manutd_brighton,h1_chunk_001,13340,1,0.96,,,
073_manutd_brighton_h1_chunk_004_f2415,manutd_brighton,h1_chunk_004,2415,1,0.71,,,
074_manutd_brighton_h1_chunk_000_f14010,manutd_brighton,h1_chunk_000,14010,0,1.87,,,
075_manutd_brighton_h2_chunk_001_f10290,manutd_brighton,h2_chunk_001,10290,0,0.52,,,
076_manutd_brighton_h2_chunk_005_f1015,manutd_brighton,h2_chunk_005,1015,1,0.64,,,
077_manutd_brighton_h2_chunk_001_f225,manutd_brighton,h2_chunk_001,225,1,0.76,,,
078_manutd_brighton_h2_chunk_005_f250,manutd_brighton,h2_chunk_005,250,0,2.9,,,
079_manutd_brighton_h2_chunk_000_f5450,manutd_brighton,h2_chunk_000,5450,1,1.07,,,
080_manutd_brighton_h2_chunk_004_f9700,manutd_brighton,h2_chunk_004,9700,1,0.53,,,
081_manutd_brighton_h2_chunk_003_f1570,manutd_brighton,h2_chunk_003,1570,0,0.4,,,
082_manutd_brighton_h2_chunk_000_f6180,manutd_brighton,h2_chunk_000,6180,1,0.17,,,
083_manutd_brighton_h2_chunk_003_f13010,manutd_brighton,h2_chunk_003,13010,0,0.37,,,
084_manutd_brighton_h2_chunk_002_f9710,manutd_brighton,h2_chunk_002,9710,1,0.83,,,
085_manutd_brighton_h2_chunk_005_f3595,manutd_brighton,h2_chunk_005,3595,1,0.52,,,
086_manutd_brighton_h2_chunk_005_f3885,manutd_brighton,h2_chunk_005,3885,0,0.64,,,
087_manutd_brighton_h2_chunk_005_f3930,manutd_brighton,h2_chunk_005,3930,0,1.43,,,
088_manutd_brighton_h2_chunk_004_f12750,manutd_brighton,h2_chunk_004,12750,0,1.13,,,
089_manutd_brighton_h2_chunk_004_f410,manutd_brighton,h2_chunk_004,410,1,0.86,,,
