player,substitute,minutes,n,h1_share
Alejandro Garnacho,True,26.0,1,0.0
Amad Diallo,False,90.0,10,0.6
Bruno Fernandes,False,90.0,15,0.4
Carlos Baleba,False,89.0,10,0.5
Danny Welbeck,False,69.0,12,0.75
Diogo Dalot,False,90.0,2,0.0
Harry Maguire,False,90.0,9,0.33
Jan Paul van Hecke,False,90.0,4,0.5
João Pedro,False,89.0,1,1.0
Joël Veltman,False,90.0,17,0.41
Kaoru Mitoma,False,90.0,3,1.0
Leny Yoro,False,90.0,1,1.0
Lewis Dunk,False,90.0,25,0.64
Manuel Ugarte,False,64.0,16,0.56
Noussair Mazraoui,False,84.0,6,0.67
Pervis Estupiñán,False,84.0,5,0.8
Solly March,True,21.0,1,0.0
Yasin Ayari,False,90.0,9,0.56
