player,substitute,minutes,n,h1_share
Alejandro Garnacho,False,69.0,3,0.33
Alexis Mac Allister,False,90.0,3,0.67
Andy Robertson,False,83.0,12,0.75
Bruno Fernandes,False,90.0,26,0.54
Casemiro,False,45.0,9,1.0
Darwin Núñez,True,14.0,1,0.0
Diogo Dalot,False,90.0,3,0.0
Diogo Jota,False,76.0,5,0.6
Dominik Szoboszlai,False,90.0,4,0.25
Ibrahima Konaté,False,90.0,16,0.38
Lisandro Martínez,False,90.0,9,0.22
Marcus Rashford,False,90.0,7,0.29
Noussair Mazraoui,False,90.0,13,0.69
Ryan Gravenberch,False,90.0,7,0.71
Toby Collyer,True,45.0,4,0.0
