player,substitute,minutes,n,h1_share
Alejandro Garnacho,False,90.0,16,0.44
Brennan Johnson,False,76.0,7,0.43
Bruno Fernandes,False,42.0,2,1.0
Christian Eriksen,True,18.0,7,0.29
Cristian Romero,False,90.0,4,0.25
Dejan Kulusevski,False,90.0,21,0.57
Destiny Udogie,False,45.0,3,1.0
Diogo Dalot,False,90.0,6,0.0
Dominic Solanke,False,90.0,1,0.0
James Maddison,False,77.0,7,0.57
Lisandro Martínez,False,90.0,6,0.17
Lucas Bergvall,True,13.0,2,0.0
Manuel Ugarte,False,72.0,9,0.78
Marcus Rashford,False,73.0,3,0.33
Micky van de Ven,False,81.0,5,1.0
Noussair Mazraoui,False,90.0,5,0.4
Pape Matar Sarr,True,13.0,1,0.0
Pedro Porro,False,90.0,3,0.0
Rodrigo Bentancur,False,90.0,9,0.33
Timo Werner,False,77.0,8,0.75
