frame,box_h,team_guess,pred,conf,illegible,chunk,kit_ok,ocr_ok,near_wide_gap_frames
295,110.0,1,33,0.3629,False,h1_chunk_000,,,
295,101.0,1,20,0.2832,False,h1_chunk_000,,,
295,101.0,1,20,0.2081,False,h1_chunk_000,,,
295,107.0,1,30,0.2764,False,h1_chunk_000,,,
310,103.0,1,20,0.288,False,h1_chunk_000,,,
310,103.0,0,-1,0.497,True,h1_chunk_000,,,
315,107.0,1,24,0.4113,False,h1_chunk_000,,,
315,101.0,1,11,0.2519,False,h1_chunk_000,,,
320,103.0,0,14,0.5246,False,h1_chunk_000,,,
325,106.0,0,31,0.6714,False,h1_chunk_000,,,
335,109.0,0,-1,0.168,True,h1_chunk_000,,,
365,113.0,0,24,0.2063,False,h1_chunk_000,,,
420,137.0,1,20,0.2137,False,h1_chunk_000,,,
425,143.0,1,20,0.2451,False,h1_chunk_000,,,
425,104.0,1,6,0.1404,False,h1_chunk_000,,,
430,138.0,0,20,0.5141,False,h1_chunk_000,,,
430,115.0,1,23,0.3099,False,h1_chunk_000,,,
435,141.0,1,20,0.6968,False,h1_chunk_000,,,
435,130.0,1,5,0.2339,False,h1_chunk_000,,,
440,124.0,1,20,0.9574,False,h1_chunk_000,True,False,
440,110.0,1,11,0.2158,False,h1_chunk_000,,,
440,132.0,1,-1,0.4127,True,h1_chunk_000,,,
445,112.0,1,29,0.8298,False,h1_chunk_000,True,False,
445,114.0,1,20,0.6752,False,h1_chunk_000,,,
445,126.0,1,-1,0.2069,True,h1_chunk_000,,,
600,100.0,1,29,0.7086,False,h1_chunk_000,True,False,
600,105.0,1,6,0.2637,False,h1_chunk_000,,,
600,103.0,1,33,0.2087,False,h1_chunk_000,,,
610,107.0,1,-1,0.1784,True,h1_chunk_000,,,
610,102.0,1,20,0.1713,False,h1_chunk_000,,,
615,106.0,1,30,0.291,False,h1_chunk_000,,,
620,104.0,1,29,0.6114,False,h1_chunk_000,,,
625,126.0,1,20,0.6979,False,h1_chunk_000,,,
630,120.0,1,20,0.6378,False,h1_chunk_000,,,
635,117.0,1,20,0.6565,False,h1_chunk_000,,,
725,101.0,1,29,0.4758,False,h1_chunk_000,,,
725,100.0,1,9,0.3113,False,h1_chunk_000,,,
725,110.0,1,10,0.4171,False,h1_chunk_000,,,
725,114.0,1,-1,0.1246,True,h1_chunk_000,,,
730,101.0,1,23,0.6415,False,h1_chunk_000,,,
730,102.0,1,-1,0.7972,True,h1_chunk_000,,,
735,113.0,0,-1,0.7604,True,h1_chunk_000,,,
735,115.0,1,-1,0.4908,True,h1_chunk_000,,,
745,106.0,0,24,0.4864,False,h1_chunk_000,,,
745,122.0,1,-1,0.321,True,h1_chunk_000,,,
745,116.0,1,-1,0.1817,True,h1_chunk_000,,,
745,103.0,1,-1,0.9348,True,h1_chunk_000,,,
750,113.0,1,-1,0.3611,True,h1_chunk_000,,,
750,107.0,1,11,0.6373,False,h1_chunk_000,,,
750,103.0,1,29,0.2891,False,h1_chunk_000,,,
750,108.0,1,11,0.8483,False,h1_chunk_000,True,False,
750,113.0,0,-1,0.2023,True,h1_chunk_000,,,
750,220.0,1,30,0.1832,False,h1_chunk_000,,,
755,114.0,1,20,0.2383,False,h1_chunk_000,,,
755,105.0,1,-1,0.3589,True,h1_chunk_000,,,
755,106.0,1,29,0.2197,False,h1_chunk_000,,,
755,123.0,0,20,0.2906,False,h1_chunk_000,,,
755,103.0,0,-1,0.6206,True,h1_chunk_000,,,
760,109.0,1,3,0.1749,False,h1_chunk_000,,,
760,118.0,1,25,0.2018,False,h1_chunk_000,,,
760,101.0,1,29,0.5055,False,h1_chunk_000,,,
760,114.0,1,20,0.7443,False,h1_chunk_000,True,False,
760,189.0,1,14,0.2797,False,h1_chunk_000,,,
765,125.0,1,20,0.4516,False,h1_chunk_000,,,
765,116.0,1,33,0.7243,False,h1_chunk_000,True,False,
765,105.0,1,20,0.3428,False,h1_chunk_000,,,
770,124.0,1,20,0.4181,False,h1_chunk_000,,,
770,109.0,1,8,0.4881,False,h1_chunk_000,,,
770,112.0,1,20,0.5092,False,h1_chunk_000,,,
770,109.0,1,33,0.222,False,h1_chunk_000,,,
770,148.0,1,-1,0.176,True,h1_chunk_000,,,
775,121.0,1,20,0.2806,False,h1_chunk_000,,,
775,105.0,1,8,0.1917,False,h1_chunk_000,,,
775,154.0,1,10,0.3148,False,h1_chunk_000,,,
775,104.0,1,10,0.2271,False,h1_chunk_000,,,
780,124.0,1,20,0.715,False,h1_chunk_000,True,False,
780,100.0,1,8,0.8187,False,h1_chunk_000,True,True,
780,100.0,1,25,0.6292,False,h1_chunk_000,,,
780,123.0,1,30,0.2748,False,h1_chunk_000,,,
780,144.0,1,9,0.1109,False,h1_chunk_000,,,
785,102.0,0,8,0.781,False,h1_chunk_000,True,True,
785,120.0,1,20,0.5872,False,h1_chunk_000,,,
785,104.0,1,10,0.293,False,h1_chunk_000,,,
785,104.0,1,30,0.3336,False,h1_chunk_000,,,
785,106.0,1,20,0.2034,False,h1_chunk_000,,,
800,106.0,1,24,0.2742,False,h1_chunk_000,,,
800,111.0,1,33,0.3243,False,h1_chunk_000,,,
800,103.0,0,-1,0.4092,True,h1_chunk_000,,,
800,113.0,1,20,0.2573,False,h1_chunk_000,,,
800,100.0,1,11,0.785,False,h1_chunk_000,True,False,
800,112.0,1,10,0.5003,False,h1_chunk_000,,,
800,112.0,1,10,0.5253,False,h1_chunk_000,,,
805,107.0,1,36,0.1067,False,h1_chunk_000,,,
805,108.0,1,11,0.2949,False,h1_chunk_000,,,
805,103.0,1,20,0.3757,False,h1_chunk_000,,,
805,105.0,1,25,0.1707,False,h1_chunk_000,,,
805,107.0,1,-1,0.2648,True,h1_chunk_000,,,
805,105.0,0,-1,0.4972,True,h1_chunk_000,,,
805,135.0,1,11,0.7962,False,h1_chunk_000,True,False,
805,107.0,1,11,0.3936,False,h1_chunk_000,,,
810,105.0,1,20,0.1114,False,h1_chunk_000,,,
810,116.0,1,20,0.7474,False,h1_chunk_000,True,False,
810,102.0,1,11,0.2141,False,h1_chunk_000,,,
810,116.0,1,24,0.236,False,h1_chunk_000,,,
810,107.0,1,8,0.3511,False,h1_chunk_000,,,
810,137.0,1,11,0.1758,False,h1_chunk_000,,,
810,112.0,1,30,0.1714,False,h1_chunk_000,,,
810,105.0,1,11,0.5076,False,h1_chunk_000,,,
810,102.0,1,20,0.565,False,h1_chunk_000,,,
815,113.0,1,20,0.8045,False,h1_chunk_000,True,False,
815,111.0,1,11,0.1447,False,h1_chunk_000,,,
815,101.0,1,36,0.1539,False,h1_chunk_000,,,
815,116.0,1,11,0.4876,False,h1_chunk_000,,,
815,111.0,1,25,0.2031,False,h1_chunk_000,,,
815,101.0,1,20,0.3668,False,h1_chunk_000,,,
815,113.0,1,8,0.3112,False,h1_chunk_000,,,
815,132.0,1,36,0.1953,False,h1_chunk_000,,,
820,119.0,0,10,0.565,False,h1_chunk_000,,,
820,101.0,1,29,0.1733,False,h1_chunk_000,,,
820,111.0,1,33,0.4562,False,h1_chunk_000,,,
820,110.0,1,11,0.2184,False,h1_chunk_000,,,
820,104.0,1,20,0.628,False,h1_chunk_000,,,
820,128.0,1,22,0.157,False,h1_chunk_000,,,
820,105.0,1,8,0.2736,False,h1_chunk_000,,,
820,106.0,1,10,0.3914,False,h1_chunk_000,,,
825,116.0,1,-1,0.1628,True,h1_chunk_000,,,
825,101.0,0,33,0.1575,False,h1_chunk_000,,,
825,116.0,1,20,0.6012,False,h1_chunk_000,,,
825,115.0,1,30,0.1828,False,h1_chunk_000,,,
825,109.0,1,11,0.1735,False,h1_chunk_000,,,
825,110.0,1,31,0.1516,False,h1_chunk_000,,,
825,125.0,1,11,0.4283,False,h1_chunk_000,,,
825,109.0,1,20,0.2887,False,h1_chunk_000,,,
825,125.0,1,11,0.7392,False,h1_chunk_000,True,False,
830,111.0,1,10,0.2404,False,h1_chunk_000,,,
830,110.0,1,10,0.1065,False,h1_chunk_000,,,
830,101.0,1,20,0.4948,False,h1_chunk_000,,,
830,119.0,1,20,0.3172,False,h1_chunk_000,,,
830,146.0,1,11,0.7092,False,h1_chunk_000,True,False,
830,103.0,1,20,0.2468,False,h1_chunk_000,,,
830,101.0,1,23,0.1977,False,h1_chunk_000,,,
835,117.0,0,20,0.4343,False,h1_chunk_000,,,
835,110.0,1,33,0.1228,False,h1_chunk_000,,,
835,142.0,1,28,0.2092,False,h1_chunk_000,,,
835,100.0,1,14,0.6209,False,h1_chunk_000,,,
835,100.0,1,-1,0.1359,True,h1_chunk_000,,,
835,121.0,1,10,0.2585,False,h1_chunk_000,,,
835,107.0,1,20,0.5981,False,h1_chunk_000,,,
835,101.0,1,10,0.1326,False,h1_chunk_000,,,
835,108.0,1,4,0.2092,False,h1_chunk_000,,,
840,112.0,1,6,0.2667,False,h1_chunk_000,,,
840,122.0,0,10,0.2044,False,h1_chunk_000,,,
840,101.0,1,28,0.1038,False,h1_chunk_000,,,
840,134.0,1,10,0.6121,False,h1_chunk_000,,,
840,120.0,1,28,0.1951,False,h1_chunk_000,,,
840,104.0,1,-1,0.3486,True,h1_chunk_000,,,
840,105.0,0,20,0.5121,False,h1_chunk_000,,,
840,116.0,1,4,0.4498,False,h1_chunk_000,,,
860,123.0,1,20,0.4919,False,h1_chunk_000,,,
860,136.0,1,36,0.32,False,h1_chunk_000,,,
860,103.0,1,20,0.3451,False,h1_chunk_000,,,
860,123.0,1,11,0.6496,False,h1_chunk_000,,,
860,111.0,0,20,0.7936,False,h1_chunk_000,True,False,
880,115.0,1,20,0.6681,False,h1_chunk_000,,,
880,100.0,1,14,0.5202,False,h1_chunk_000,,,
880,107.0,1,20,0.4055,False,h1_chunk_000,,,
880,123.0,1,11,0.2668,False,h1_chunk_000,,,
880,128.0,1,36,0.3716,False,h1_chunk_000,,,
880,129.0,1,11,0.1792,False,h1_chunk_000,,,
885,122.0,1,36,0.3913,False,h1_chunk_000,,,
885,112.0,1,20,0.2043,False,h1_chunk_000,,,
885,105.0,1,20,0.798,False,h1_chunk_000,True,False,
885,104.0,1,10,0.3914,False,h1_chunk_000,,,
890,107.0,1,25,0.1005,False,h1_chunk_000,,,
890,102.0,1,-1,0.1974,True,h1_chunk_000,,,
890,121.0,1,11,0.3327,False,h1_chunk_000,,,
890,101.0,1,20,0.4348,False,h1_chunk_000,,,
