match,chunk,frame,image_x,image_y,box_h,head_px,face_px
manutd_liverpool,h1_chunk_000,405,980.214111328125,500.249755859375,86.0,10.75,9.555555555555555
manutd_liverpool,h1_chunk_000,435,558.572509765625,495.94854736328125,84.0,10.5,9.333333333333332
manutd_liverpool,h1_chunk_000,700,425.25433349609375,450.246337890625,81.0,10.125,9.0
manutd_liverpool,h1_chunk_000,810,1085.02978515625,426.3230285644531,78.0,9.75,8.666666666666666
manutd_liverpool,h1_chunk_000,885,773.8179931640625,743.2334594726562,109.0,13.625,12.11111111111111
manutd_liverpool,h1_chunk_000,1045,1315.91455078125,1019.9776000976562,134.0,16.75,14.888888888888888
manutd_liverpool,h1_chunk_000,1130,698.4524536132812,933.4131469726562,127.0,15.875,14.11111111111111
manutd_liverpool,h1_chunk_000,1250,392.22802734375,543.7660522460938,89.0,11.125,9.888888888888888
manutd_liverpool,h1_chunk_000,1320,323.2872314453125,842.1616821289062,118.0,14.75,13.11111111111111
manutd_liverpool,h1_chunk_000,1455,580.6768798828125,470.47216796875,83.0,10.375,9.222222222222221
manutd_liverpool,h1_chunk_000,1800,395.0243225097656,399.4508972167969,76.0,9.5,8.444444444444445
manutd_liverpool,h1_chunk_000,1970,217.2542724609375,603.1312866210938,95.0,11.875,10.555555555555555
manutd_liverpool,h1_chunk_000,2065,717.6357421875,786.3426513671875,113.0,14.125,12.555555555555555
manutd_liverpool,h1_chunk_000,2170,678.5059814453125,872.7753295898438,120.0,15.0,13.333333333333332
manutd_liverpool,h1_chunk_000,2300,1520.122314453125,737.4905395507812,108.0,13.5,12.0
manutd_liverpool,h1_chunk_000,2345,1270.384765625,875.1385498046875,121.0,15.125,13.444444444444443
manutd_liverpool,h1_chunk_000,2530,425.5933837890625,509.8747863769531,86.0,10.75,9.555555555555555
manutd_liverpool,h1_chunk_000,2790,773.2088623046875,376.92919921875,73.0,9.125,8.11111111111111
manutd_liverpool,h1_chunk_000,3860,1902.9541015625,491.7398681640625,84.0,10.5,9.333333333333332
