i,box_h,pred,conf,illegible,face_px_det,face_px_geo,anchor,face,face_usable
0,110.0,33,0.3629,False,0.0,12.222222222222221,False,False,False
1,101.0,20,0.2832,False,0.0,11.222222222222221,False,False,False
2,101.0,20,0.2081,False,0.0,11.222222222222221,False,False,False
3,107.0,30,0.2764,False,0.0,11.888888888888888,False,False,False
4,103.0,20,0.288,False,0.0,11.444444444444445,False,False,False
5,103.0,-1,0.497,True,0.0,11.444444444444445,False,False,False
6,107.0,24,0.4113,False,0.0,11.888888888888888,False,False,False
7,101.0,11,0.2519,False,0.0,11.222222222222221,False,False,False
8,103.0,14,0.5246,False,0.0,11.444444444444445,False,False,False
9,106.0,31,0.6714,False,0.0,11.777777777777777,False,False,False
10,109.0,-1,0.168,True,0.0,12.11111111111111,False,False,False
11,113.0,24,0.2063,False,0.0,12.555555555555555,False,False,False
12,137.0,20,0.2137,False,0.0,15.222222222222221,False,False,False
13,143.0,20,0.2451,False,0.0,15.888888888888888,False,False,False
14,104.0,6,0.1404,False,0.0,11.555555555555555,False,False,False
15,138.0,20,0.5141,False,0.0,15.333333333333332,False,False,False
16,115.0,23,0.3099,False,0.0,12.777777777777777,False,False,False
17,141.0,20,0.6968,False,0.0,15.666666666666666,False,False,False
18,130.0,5,0.2339,False,0.0,14.444444444444443,False,False,False
19,124.0,20,0.9574,False,0.0,13.777777777777777,True,False,False
20,110.0,11,0.2158,False,0.0,12.222222222222221,False,False,False
21,132.0,-1,0.4127,True,0.0,14.666666666666666,False,False,False
22,112.0,29,0.8298,False,0.0,12.444444444444443,True,False,False
23,114.0,20,0.6752,False,0.0,12.666666666666666,False,False,False
24,126.0,-1,0.2069,True,0.0,14.0,False,False,False
25,100.0,29,0.7086,False,0.0,11.11111111111111,True,False,False
26,105.0,6,0.2637,False,0.0,11.666666666666666,False,False,False
27,103.0,33,0.2087,False,0.0,11.444444444444445,False,False,False
28,107.0,-1,0.1784,True,0.0,11.888888888888888,False,False,False
29,102.0,20,0.1713,False,15.666666666666666,11.333333333333332,False,True,False
30,106.0,30,0.291,False,0.0,11.777777777777777,False,False,False
31,104.0,29,0.6114,False,0.0,11.555555555555555,False,False,False
32,126.0,20,0.6979,False,0.0,14.0,False,False,False
33,120.0,20,0.6378,False,0.0,13.333333333333332,False,False,False
34,117.0,20,0.6565,False,0.0,13.0,False,False,False
35,101.0,29,0.4758,False,0.0,11.222222222222221,False,False,False
36,100.0,9,0.3113,False,0.0,11.11111111111111,False,False,False
37,110.0,10,0.4171,False,0.0,12.222222222222221,False,False,False
38,114.0,-1,0.1246,True,0.0,12.666666666666666,False,False,False
39,101.0,23,0.6415,False,0.0,11.222222222222221,False,False,False
40,102.0,-1,0.7972,True,0.0,11.333333333333332,False,False,False
41,113.0,-1,0.7604,True,0.0,12.555555555555555,False,False,False
42,115.0,-1,0.4908,True,0.0,12.777777777777777,False,False,False
43,106.0,24,0.4864,False,0.0,11.777777777777777,False,False,False
44,122.0,-1,0.321,True,0.0,13.555555555555555,False,False,False
45,116.0,-1,0.1817,True,0.0,12.888888888888888,False,False,False
46,103.0,-1,0.9348,True,0.0,11.444444444444445,False,False,False
47,113.0,-1,0.3611,True,0.0,12.555555555555555,False,False,False
48,107.0,11,0.6373,False,0.0,11.888888888888888,False,False,False
49,103.0,29,0.2891,False,0.0,11.444444444444445,False,False,False
50,108.0,11,0.8483,False,0.0,12.0,True,False,False
51,113.0,-1,0.2023,True,0.0,12.555555555555555,False,False,False
52,220.0,30,0.1832,False,0.0,24.444444444444443,False,False,False
