mode,config,point,min_sim,min_margin,split,n_candidates,n_judged,carrier_sel_err,n_assigned,e2e,ident,reachability,reach_n,gallery_coverage,cov_n,assigned_all_passes
per_match,baseline,frozen_v1,0.88,0.01,dev,11429,29,0.103,15,0.333,0.357,0.643,9/14,0.577,15/26,394
per_match,baseline,frozen_v1,0.88,0.01,held,11429,49,0.184,25,0.36,0.5,0.778,14/18,0.75,30/40,394
per_match,baseline,frozen_v1,0.88,0.01,all3,11429,78,0.154,40,0.35,0.438,0.719,23/32,0.682,45/66,394
per_match,all_hard,frozen_v1,0.88,0.01,dev,11429,29,0.103,15,0.333,0.357,0.643,9/14,0.538,14/26,425
per_match,all_hard,frozen_v1,0.88,0.01,held,11429,49,0.184,25,0.4,0.526,0.737,14/19,0.75,30/40,425
per_match,all_hard,frozen_v1,0.88,0.01,all3,11429,78,0.154,40,0.375,0.455,0.697,23/33,0.667,44/66,425
pooled,baseline,frozen_v1,0.88,0.01,dev,18523,29,0.103,15,0.333,0.357,0.786,11/14,0.654,17/26,387
pooled,baseline,frozen_v1,0.88,0.01,held,18523,49,0.184,16,0.375,0.545,0.818,9/11,0.8,32/40,387
pooled,baseline,frozen_v1,0.88,0.01,all3,18523,78,0.154,31,0.355,0.44,0.8,20/25,0.742,49/66,387
pooled,baseline,dev_reselected,0.92,0.005,dev,18523,29,0.103,8,0.5,0.571,0.857,6/7,0.654,17/26,376
pooled,baseline,dev_reselected,0.92,0.005,held,18523,49,0.184,18,0.333,0.5,0.833,10/12,0.8,32/40,376
pooled,baseline,dev_reselected,0.92,0.005,all3,18523,78,0.154,26,0.385,0.526,0.842,16/19,0.742,49/66,376
pooled,all_hard,frozen_v1,0.88,0.01,dev,18523,29,0.103,16,0.312,0.357,0.786,11/14,0.615,16/26,420
pooled,all_hard,frozen_v1,0.88,0.01,held,18523,49,0.184,21,0.476,0.625,0.812,13/16,0.8,32/40,420
pooled,all_hard,frozen_v1,0.88,0.01,all3,18523,78,0.154,37,0.405,0.5,0.8,24/30,0.727,48/66,420
pooled,all_hard,dev_reselected,0.92,0.005,dev,18523,29,0.103,8,0.5,0.571,0.857,6/7,0.615,16/26,389
pooled,all_hard,dev_reselected,0.92,0.005,held,18523,49,0.184,17,0.412,0.583,0.833,10/12,0.8,32/40,389
pooled,all_hard,dev_reselected,0.92,0.005,all3,18523,78,0.154,25,0.44,0.579,0.842,16/19,0.727,48/66,389
pooled_kit,baseline,frozen_v1,0.88,0.01,dev,14192,29,0.103,15,0.333,0.357,0.714,10/14,0.615,16/26,393
pooled_kit,baseline,frozen_v1,0.88,0.01,held,14192,49,0.184,20,0.5,0.667,0.867,13/15,0.775,31/40,393
pooled_kit,baseline,frozen_v1,0.88,0.01,all3,14192,78,0.154,35,0.429,0.517,0.793,23/29,0.712,47/66,393
pooled_kit,baseline,dev_reselected,0.92,0.005,dev,14192,29,0.103,8,0.5,0.571,0.714,5/7,0.615,16/26,366
pooled_kit,baseline,dev_reselected,0.92,0.005,held,14192,49,0.184,17,0.353,0.545,0.909,10/11,0.775,31/40,366
pooled_kit,baseline,dev_reselected,0.92,0.005,all3,14192,78,0.154,25,0.4,0.556,0.833,15/18,0.712,47/66,366
pooled_kit,all_hard,frozen_v1,0.88,0.01,dev,14192,29,0.103,16,0.312,0.357,0.714,10/14,0.577,15/26,425
pooled_kit,all_hard,frozen_v1,0.88,0.01,held,14192,49,0.184,23,0.522,0.667,0.833,15/18,0.775,31/40,425
pooled_kit,all_hard,frozen_v1,0.88,0.01,all3,14192,78,0.154,39,0.436,0.531,0.781,25/32,0.697,46/66,425
pooled_kit,all_hard,dev_reselected,0.92,0.005,dev,14192,29,0.103,8,0.5,0.571,0.714,5/7,0.577,15/26,380
pooled_kit,all_hard,dev_reselected,0.92,0.005,held,14192,49,0.184,16,0.438,0.636,0.909,10/11,0.775,31/40,380
pooled_kit,all_hard,dev_reselected,0.92,0.005,all3,14192,78,0.154,24,0.458,0.611,0.833,15/18,0.697,46/66,380
