club,player,brighton_manutd,fulham_manutd,liverpool_manutd,manutd_brighton,manutd_liverpool,manutd_palace,manutd_southampton,manutd_tottenham,tottenham_manutd,pooled
Brighton,Carlos Baleba,0,0,0,48,0,0,0,0,0,48
Brighton,Danny Welbeck,24,0,0,78,0,0,0,0,0,102
Brighton,Georginio Rutter,0,0,0,6,0,0,0,0,0,6
Brighton,James Milner,36,0,0,0,0,0,0,0,0,36
Brighton,Jan Paul van Hecke,24,0,0,12,0,0,0,0,0,36
Brighton,João Pedro,0,0,0,12,0,0,0,0,0,12
Brighton,Joël Veltman,112,0,0,56,0,0,0,0,0,168
Brighton,Julio Enciso,21,0,0,0,0,0,0,0,0,21
Brighton,Kaoru Mitoma,54,0,0,73,0,0,0,0,0,127
Brighton,Lewis Dunk,6,0,0,59,0,0,0,0,0,65
Brighton,Pervis Estupiñán,0,0,0,126,0,0,0,0,0,126
Brighton,Simon Adingra,11,0,0,0,0,0,0,0,0,11
Brighton,Solly March,0,0,0,12,0,0,0,0,0,12
Brighton,Yankuba Minteh,24,0,0,18,0,0,0,0,0,42
Brighton,Yasin Ayari,0,0,0,52,0,0,0,0,0,52
Crystal Palace,Adam Wharton,0,0,0,0,0,12,0,0,0,12
Crystal Palace,Chris Richards,0,0,0,0,0,24,0,0,0,24
Crystal Palace,Daichi Kamada,0,0,0,0,0,66,0,0,0,66
Crystal Palace,Daniel Muñoz,0,0,0,0,0,30,0,0,0,30
Crystal Palace,Ismaïla Sarr,0,0,0,0,0,18,0,0,0,18
Crystal Palace,Jefferson Lerma,0,0,0,0,0,12,0,0,0,12
Crystal Palace,Justin Devenny,0,0,0,0,0,6,0,0,0,6
Crystal Palace,Maxence Lacroix,0,0,0,0,0,36,0,0,0,36
Crystal Palace,Tyrick Mitchell,0,0,0,0,0,66,0,0,0,66
Crystal Palace,Will Hughes,0,0,0,0,0,82,0,0,0,82
Fulham,Alex Iwobi,0,30,0,0,0,0,0,0,0,30
Fulham,Calvin Bassey,0,148,0,0,0,0,0,0,0,148
