match,mgr,chunks,span_s,ball_s,ball_cov,link_obs,poss_s,poss_cov,g0_strings,g0_sec,g0_med,g0_p90,g0_max,g0_obs,g0_pfill,g0_T3_strings,g0_T3_segs,g0_T3_segs_mu,g0_T5_strings,g0_T5_segs,g0_T5_segs_mu,g0_T8_strings,g0_T8_segs,g0_T8_segs_mu,g1_strings,g1_sec,g1_med,g1_p90,g1_max,g1_obs,g1_pfill,g1_T3_strings,g1_T3_segs,g1_T3_segs_mu,g1_T5_strings,g1_T5_segs,g1_T5_segs_mu,g1_T8_strings,g1_T8_segs,g1_T8_segs_mu,g2_strings,g2_sec,g2_med,g2_p90,g2_max,g2_obs,g2_pfill,g2_T3_strings,g2_T3_segs,g2_T3_segs_mu,g2_T5_strings,g2_T5_segs,g2_T5_segs_mu,g2_T8_strings,g2_T8_segs,g2_T8_segs_mu,g3_strings,g3_sec,g3_med,g3_p90,g3_max,g3_obs,g3_pfill,g3_T3_strings,g3_T3_segs,g3_T3_segs_mu,g3_T5_strings,g3_T5_segs,g3_T5_segs_mu,g3_T8_strings,g3_T8_segs,g3_T8_segs_mu,g5_strings,g5_sec,g5_med,g5_p90,g5_max,g5_obs,g5_pfill,g5_T3_strings,g5_T3_segs,g5_T3_segs_mu,g5_T5_strings,g5_T5_segs,g5_T5_segs_mu,g5_T8_strings,g5_T8_segs,g5_T8_segs_mu,g10_strings,g10_sec,g10_med,g10_p90,g10_max,g10_obs,g10_pfill,g10_T3_strings,g10_T3_segs,g10_T3_segs_mu,g10_T5_strings,g10_T5_segs,g10_T5_segs_mu,g10_T8_strings,g10_T8_segs,g10_T8_segs_mu
manutd_fulham,ten_hag,10,5488,1927,0.3511297376093295,0.7462376751427089,580,0.30098598858329007,105,301,2.0,4.0,10,0.7774086378737541,0.0,49,91,46,10,23,9,1,3,0,113,399,3.0,6.0,11,0.7493734335839599,0.017543859649122806,72,173,90,22,63,30,6,14,8,112,452,3.0,7.0,14,0.7256637168141593,0.028761061946902654,78,228,132,31,102,66,10,32,26,106,514,3.5,9.0,21,0.708171206225681,0.04669260700389105,77,302,171,40,172,105,16,73,48,111,672,5.0,12.0,27,0.6532738095238095,0.1056547619047619,89,450,259,59,290,174,32,135,81,106,973,7.0,17.5,44,0.6063720452209661,0.1932168550873587,89,761,422,69,594,339,52,401,238
brighton_manutd,ten_hag,11,5817,2529,0.43476018566271274,0.8086200079082642,915,0.36180308422301305,192,558,2.0,5.0,11,0.8745519713261649,0.0,83,174,66,23,53,16,6,10,2,201,687,3.0,6.0,14,0.8486171761280932,0.008733624454148471,113,285,112,41,116,42,13,33,10,202,808,3.0,8.0,19,0.8366336633663366,0.012376237623762377,129,404,163,59,195,80,22,73,32,200,926,3.0,9.099999999999994,19,0.8142548596112311,0.032397408207343416,135,526,210,76,298,115,29,134,52,206,1093,4.0,10.5,22,0.7895699908508692,0.05489478499542543,144,681,274,92,428,166,42,208,74,209,1331,5.0,13.200000000000017,38,0.7483095416979715,0.09541697971450037,152,913,365,109,636,246,65,357,126
manutd_liverpool,ten_hag,11,5737,1994,0.3475684155481959,0.7813440320962889,573,0.28736208625877635,110,327,2.0,5.0,9,0.8715596330275229,0.0,50,107,58,18,32,19,2,3,2,113,396,3.0,6.0,9,0.8434343434343434,0.005050505050505051,69,170,99,29,59,39,4,5,4,110,456,3.0,7.1000000000000085,14,0.8245614035087719,0.015350877192982455,74,236,142,38,109,74,11,28,24,114,536,4.0,8.0,16,0.8078358208955224,0.03544776119402985,83,308,181,51,160,104,16,52,40,113,660,5.0,11.0,27,0.7696969696969697,0.05606060606060606,86,434,254,60,278,177,25,136,100,114,898,6.0,14.400000000000006,68,0.6648106904231625,0.155902004454343,94,670,420,71,497,334,39,320,235
southampton_manutd,ten_hag,11,5670,2132,0.37601410934744267,0.726078799249531,677,0.3175422138836773,129,353,2.0,4.0,11,0.7847025495750708,0.0,44,95,56,10,33,21,3,11,8,139,473,3.0,5.0,32,0.7441860465116279,0.035940803382663845,74,195,105,20,86,43,7,48,18,146,585,3.0,6.0,32,0.717948717948718,0.0735042735042735,97,293,150,39,135,69,12,59,25,148,643,3.0,7.0,32,0.7200622083981337,0.08398133748055987,104,347,184,50,172,97,14,74,40,145,802,4.0,9.599999999999994,41,0.685785536159601,0.12468827930174564,109,512,280,65,319,180,28,172,94,150,1107,5.0,15.0,41,0.6251129177958447,0.1969286359530262,120,807,460,84,587,347,52,380,233
palace_manutd,ten_hag,10,5356,1735,0.32393577296489917,0.7815561959654179,468,0.2697406340057637,95,283,2.0,4.6000000000000085,13,0.8763250883392226,0.0,43,93,77,10,29,27,3,8,8,93,337,3.0,6.0,14,0.8516320474777448,0.0,55,151,111,18,62,47,6,25,18,94,389,3.0,7.0,15,0.8097686375321337,0.012853470437017995,63,201,142,27,92,67,8,35,26,95,414,4.0,7.6000000000000085,15,0.8019323671497585,0.01932367149758454,66,224,157,31,108,77,10,39,28,92,456,4.0,9.0,32,0.7741228070175439,0.05043859649122807,64,272,199,32,159,122,12,87,70,90,692,4.0,17.0,41,0.6777456647398844,0.16329479768786126,69,512,369,43,385,284,28,272,203
manutd_tottenham,ten_hag,11,5752,1999,0.34753129346314326,0.7748874437218609,575,0.2876438219109555,112,321,2.0,5.0,8,0.8317757009345794,0.0,50,97,15,15,27,3,1,1,0,118,401,3.0,6.0,11,0.7980049875311721,0.012468827930174564,68,165,22,28,62,5,4,7,0,124,473,3.0,7.0,11,0.7843551797040169,0.019027484143763214,78,225,43,34,98,13,11,21,1,126,551,3.0,8.0,14,0.7767695099818511,0.029038112522686024,83,299,74,47,155,37,17,48,10,118,689,5.0,12.0,30,0.7343976777939042,0.07256894049346879,88,453,99,61,292,56,29,143,18,117,1003,7.0,16.0,32,0.650049850448654,0.15952143569292124,97,769,163,76,586,110,54,376,54
liverpool_manutd,amorim,10,5476,1754,0.32030679327976624,0.7440136830102623,516,0.29418472063854045,94,272,2.0,4.0,10,0.8272058823529411,0.0,39,84,26,9,27,7,3,6,1,101,347,3.0,6.0,11,0.7752161383285303,0.008645533141210375,58,145,58,20,55,20,4,10,1,101,440,4.0,7.0,13,0.7454545454545455,0.03409090909090909,70,238,85,37,115,38,9,31,6,100,483,4.0,9.100000000000009,13,0.7142857142857143,0.053830227743271224,75,283,105,45,148,53,14,44,12,98,571,5.0,11.0,32,0.6970227670753065,0.08756567425569177,76,375,136,53,236,76,23,104,23,102,820,6.0,16.900000000000006,42,0.6109756097560975,0.1975609756097561,82,616,248,63,461,180,40,295,111
manutd_southampton,amorim,10,5783,2377,0.4110323361577036,0.6693310896087505,655,0.2755574253260412,135,366,2.0,4.0,9,0.7896174863387978,0.0,47,96,40,10,28,8,5,7,1,141,470,3.0,6.0,14,0.7553191489361702,0.010638297872340425,71,188,80,25,76,27,8,19,3,138,536,3.0,7.0,27,0.7332089552238806,0.024253731343283583,81,260,105,37,125,45,12,43,7,140,610,3.0,8.0,27,0.7032786885245902,0.04426229508196721,89,330,142,51,175,75,16,65,24,142,776,4.0,10.0,27,0.6533505154639175,0.09020618556701031,100,492,231,66,313,155,29,149,78,142,1032,6.0,15.0,36,0.5998062015503876,0.14922480620155038,106,748,336,81,548,252,49,333,153
manutd_brighton,amorim,11,5915,2473,0.4180896027049873,0.7294783663566519,1012,0.40921957137080467,223,627,2.0,4.0,11,0.8213716108452951,0.0,99,181,61,21,39,7,2,6,0,229,821,3.0,6.0,14,0.7783191230207065,0.013398294762484775,146,363,122,52,139,33,12,35,4,229,929,3.0,8.0,15,0.7491926803013994,0.02906350914962325,158,471,162,67,216,55,24,66,14,226,1054,4.0,8.0,27,0.7305502846299811,0.04838709677419355,165,602,231,89,323,108,32,125,44,214,1215,4.0,11.0,27,0.6979423868312757,0.08395061728395062,163,787,319,98,504,195,54,260,102,201,1589,5.0,15.0,44,0.6217747010698552,0.18124606670862178,165,1187,506,113,891,373,78,594,254
fulham_manutd,amorim,10,5725,2731,0.47703056768558955,0.7422189674112046,972,0.3559135847674844,188,581,2.0,5.0,15,0.8554216867469879,0.0,91,205,107,21,69,31,7,25,13,208,783,3.0,7.0,15,0.8148148148148148,0.008939974457215836,137,367,194,50,151,76,11,46,24,210,920,3.5,7.0,21,0.7913043478260869,0.021739130434782608,157,500,263,74,238,127,20,78,51,206,1024,4.0,9.0,21,0.763671875,0.029296875,162,612,329,87,332,180,30,133,78,195,1224,5.0,13.0,29,0.7410130718954249,0.051470588235294115,161,834,442,102,546,288,50,291,157,191,1465,6.0,16.0,53,0.6948805460750853,0.09488054607508532,165,1083,567,113,785,407,69,489,252
