match,opponent,venue,mgr,result,n_seg,cells,d_agg,null_med,null_p95,p_dev,H_mean,z
palace_manutd,Crystal Palace,A,TH,D 0-0,142,7,0.8179660607781846,0.3756455981169706,0.5620025815028281,0.0024937655860349127,0.8100017080434804,2.2437667834303423
southampton_manutd,Southampton,A,TH,W 3-0,150,10,0.655671696656935,0.37800255213001444,0.5515500146769589,0.004987531172069825,0.879319636850173,1.1010197607731989
manutd_fulham,Fulham,H,TH,W 1-0,132,7,0.5873485048372925,0.39094672699969535,0.5727195841421445,0.0399002493765586,1.0815055512317024,0.6199425252630427
manutd_southampton,Southampton,H,AM,W 3-1,105,9,0.5572335357260569,0.42587590870745434,0.6164429766262598,0.1396508728179551,1.0188958409529163,0.4078970147759019
tottenham_manutd,Tottenham,A,AM,L 0-1,59,4,0.4998068830490703,0.4770221970774144,0.7998879075005082,0.4688279301745636,1.2211301568652726,0.003544487051865738
manutd_tottenham,Tottenham,H,TH,L 0-3,43,4,0.49290524541499525,0.5076300663133362,0.9406275576235323,0.5286783042394015,1.0766695297249853,-0.04505132156109086
manutd_palace,Crystal Palace,H,AM,L 0-2,182,9,0.4462299190942485,0.32877026430815637,0.45656344315819775,0.07481296758104738,1.229208515280495,-0.3737016137224088
fulham_manutd,Fulham,A,AM,W 1-0,263,11,0.43421812747753424,0.28559013507647557,0.41346612677936967,0.03740648379052369,1.2483525016535664,-0.4582790368578373
brighton_manutd,Brighton,A,TH,L 1-2,163,10,0.4302451403352244,0.3444413919190048,0.49390802126831507,0.17955112219451372,1.3146029470278913,-0.4862536326025041
liverpool_manutd,Liverpool,A,AM,D 2-2,85,9,0.41735749353009305,0.45433222165547144,0.675411130298218,0.6184538653366584,1.103293786770076,-0.5769981269992284
manutd_brighton,Brighton,H,AM,L 1-3,162,10,0.3826658085200865,0.33684425145843194,0.48137825956092406,0.3117206982543641,1.3017147662256439,-0.8212692079501765
manutd_liverpool,Liverpool,H,TH,L 0-3,142,8,0.2699934712571661,0.36421209675205146,0.5155519172491579,0.85785536159601,1.3249210850994801,-1.6146176316011094
