match,half,start_s,end_s,clock,players,ball_cov,frame_cov,both_teams,named,poss_team,phase,block,score,why
fulham_manutd,h2,636.9,650.9,10:36,15.4,1.0,0.99,0.99,70,Man Utd,build-up,,0.853,"15 players/frame, ball 100%; named track on 70 frames"
manutd_southampton,h2,2486.0,2500.0,41:26,14.1,1.0,1.0,1.0,71,Man Utd,progression,mid,0.835,"progression vs mid block; 14 players/frame, ball 100%; named track on 71 frames"
tottenham_manutd,h1,343.0,357.0,05:43,13.7,1.0,0.92,0.89,0,Tottenham,build-up,high,0.806,"build-up vs high block; 14 players/frame, ball 100%"
fulham_manutd,h1,1578.0,1592.0,26:18,18.1,1.0,1.0,1.0,0,Man Utd,build-up,low,0.8,"build-up vs low block; 18 players/frame, ball 100%"
tottenham_manutd,h2,21.0,35.0,00:21,16.9,0.77,0.9,0.89,21,Tottenham,progression,low,0.8,"progression vs low block; 17 players/frame, ball 77%; named track on 21 frames"
fulham_manutd,h2,1105.9,1119.9,18:25,12.3,1.0,0.97,0.96,28,Fulham,progression,low,0.798,"progression vs low block; 12 players/frame, ball 100%; named track on 28 frames"
manutd_southampton,h1,2073.0,2087.0,34:33,13.1,1.0,0.92,0.83,0,Southampton,build-up,mid,0.793,"build-up vs mid block; 13 players/frame, ball 100%"
fulham_manutd,h2,1760.8,1774.8,29:20,18.6,0.62,0.92,0.92,54,Man Utd,progression,high,0.784,"progression vs high block; 19 players/frame, ball 62%; named track on 54 frames"
tottenham_manutd,h1,1069.0,1083.0,17:49,12.7,1.0,0.86,0.75,0,Tottenham,build-up,high,0.771,"build-up vs high block; 13 players/frame, ball 100%"
manutd_brighton,h2,3135.0,3149.0,52:15,16.7,1.0,0.96,0.96,0,Brighton,attack,high,0.768,"attack vs high block; 17 players/frame, ball 100%"
brighton_manutd,h2,483.0,497.0,08:03,14.9,0.7,0.97,0.96,0,Brighton,build-up,high,0.767,"build-up vs high block; 15 players/frame, ball 70%"
manutd_brighton,h1,2136.0,2150.0,35:36,16.4,1.0,0.97,0.97,0,Brighton,progression,low,0.766,"progression vs low block; 16 players/frame, ball 100%"
france_senegal,h1,1718.5,1732.5,28:38,15.1,1.0,1.0,1.0,0,Senegal,progression,low,0.752,"progression vs low block; 15 players/frame, ball 100%"
france_senegal,h1,719.4,733.4,11:59,17.0,0.88,0.99,0.98,0,Senegal,build-up,low,0.75,"build-up vs low block; 17 players/frame, ball 88%"
france_senegal,h1,1292.1,1306.1,21:32,15.0,1.0,1.0,1.0,0,France,progression,low,0.75,"progression vs low block; 15 players/frame, ball 100%"
tottenham_manutd,h1,2484.0,2498.0,41:24,16.3,1.0,0.92,0.87,0,Tottenham,attack,mid,0.748,"attack vs mid block; 16 players/frame, ball 100%"
brighton_manutd,h1,1884.0,1898.0,31:24,12.9,0.82,0.93,0.8,0,Brighton,build-up,high,0.745,"build-up vs high block; 13 players/frame, ball 82%"
france_senegal,h2,97.9,111.9,01:37,16.7,0.86,1.0,1.0,0,France,progression,low,0.744,"progression vs low block; 17 players/frame, ball 86%"
