match,half,goal_clock,goal_score,len_s,start_s,end_s,players,ball_cov,frame_cov,both_teams,refusal,score
brighton_manutd,h2,13:14,0.9526,120.0,674.5,794.5,11.35,0.306,0.215,0.158,"broken passage: only 21% of its frames yield trusted geometry (need >= 85%) -- replay, cut or calibration failure",0.3165
brighton_manutd,h2,13:14,0.9526,90.0,704.5,794.5,11.68,0.344,0.246,0.18,"broken passage: only 25% of its frames yield trusted geometry (need >= 85%) -- replay, cut or calibration failure",0.3389
brighton_manutd,h2,13:14,0.9526,60.0,736.5,796.5,11.83,0.445,0.346,0.249,"broken passage: only 35% of its frames yield trusted geometry (need >= 85%) -- replay, cut or calibration failure",0.39
brighton_manutd,h2,13:14,0.9526,30.0,766.5,796.5,12.9,0.609,0.444,0.338,"broken passage: only 44% of its frames yield trusted geometry (need >= 85%) -- replay, cut or calibration failure",0.4729
brighton_manutd,h2,48:01,0.895,120.0,2763.0,2883.0,11.22,0.378,0.22,0.176,"broken passage: only 22% of its frames yield trusted geometry (need >= 85%) -- replay, cut or calibration failure",0.3342
brighton_manutd,h2,48:01,0.895,90.0,2793.0,2883.0,10.96,0.22,0.153,0.12,"broken passage: only 15% of its frames yield trusted geometry (need >= 85%) -- replay, cut or calibration failure",0.2741
brighton_manutd,h2,48:01,0.895,60.0,2823.0,2883.0,10.96,0.329,0.229,0.179,"broken passage: only 23% of its frames yield trusted geometry (need >= 85%) -- replay, cut or calibration failure",0.3197
brighton_manutd,h2,48:01,0.895,30.0,2853.0,2883.0,11.53,0.285,0.225,0.205,"broken passage: only 23% of its frames yield trusted geometry (need >= 85%) -- replay, cut or calibration failure",0.3186
brighton_manutd,h1,31:35,0.7563,90.0,1807.5,1897.5,11.28,0.532,0.432,0.335,"broken passage: only 43% of its frames yield trusted geometry (need >= 85%) -- replay, cut or calibration failure",0.4243
brighton_manutd,h1,31:35,0.7563,60.0,1837.5,1897.5,11.26,0.621,0.492,0.365,"broken passage: only 49% of its frames yield trusted geometry (need >= 85%) -- replay, cut or calibration failure",0.4597
brighton_manutd,h1,31:35,0.7563,30.0,1865.5,1895.5,12.7,0.675,0.483,0.404,"broken passage: only 48% of its frames yield trusted geometry (need >= 85%) -- replay, cut or calibration failure",0.4974
brighton_manutd,h2,23:24,0.5811,120.0,1284.0,1404.0,12.38,0.697,0.479,0.431,"broken passage: only 48% of its frames yield trusted geometry (need >= 85%) -- replay, cut or calibration failure",0.498
brighton_manutd,h2,23:24,0.5811,90.0,1314.0,1404.0,13.0,0.665,0.457,0.424,"broken passage: only 46% of its frames yield trusted geometry (need >= 85%) -- replay, cut or calibration failure",0.4955
brighton_manutd,h2,23:24,0.5811,60.0,1344.0,1404.0,13.01,0.535,0.382,0.359,"broken passage: only 38% of its frames yield trusted geometry (need >= 85%) -- replay, cut or calibration failure",0.4449
brighton_manutd,h2,23:24,0.5811,30.0,1374.0,1404.0,11.5,0.318,0.146,0.106,"broken passage: only 15% of its frames yield trusted geometry (need >= 85%) -- replay, cut or calibration failure",0.3056
